30227131,"{'latitude': 41.3811117, 'longitude': 2.1651119, 'street_count': 3}"
30227132,"{'latitude': 41.3811853, 'longitude': 2.1659302, 'street_count': 4}"
30227133,"{'latitude': 41.3816681, 'longitude': 2.1667236, 'street_count': 3}"
30227134,"{'latitude': 41.3816095, 'longitude': 2.1638237, 'street_count': 3}"
30227135,"{'latitude': 41.3812656, 'longitude': 2.1638885, 'street_count': 3}"
30227136,"{'latitude': 41.3807924, 'longitude': 2.1639619, 'street_count': 4}"
30227137,"{'latitude': 41.3803796, 'longitude': 2.1640259, 'street_count': 3}"
30227139,"{'latitude': 41.380881, 'longitude': 2.1652665, 'street_count': 3}"
30227151,"{'latitude': 41.3825833, 'longitude': 2.1644922, 'street_count': 4}"
30227152,"{'latitude': 41.382263, 'longitude': 2.1647988, 'street_count': 4}"
30227153,"{'latitude': 41.3817581, 'longitude': 2.1652892, 'street_count': 4}"
30227154,"{'latitude': 41.3807403, 'longitude': 2.1664529, 'street_count': 4}"
30227156,"{'latitude': 41.382372, 'longitude': 2.1640959, 'street_count': 3}"
30227157,"{'latitude': 41.3820338, 'longitude': 2.1643846, 'street_count': 4}"
30227158,"{'latitude': 41.3816935, 'longitude': 2.1646998, 'street_count': 4}"
30227159,"{'latitude': 41.381356, 'longitude': 2.1649365, 'street_count': 3}"
30227160,"{'latitude': 41.3804615, 'longitude': 2.1655795, 'street_count': 3}"
30227192,"{'latitude': 41.3837354, 'longitude': 2.1644878, 'street_count': 3}"
30227193,"{'latitude': 41.383326, 'longitude': 2.1649366, 'street_count': 4}"
30227194,"{'latitude': 41.3830111, 'longitude': 2.1652713, 'street_count': 3}"
30227195,"{'latitude': 41.3826993, 'longitude': 2.1656095, 'street_count': 3}"
30227196,"{'latitude': 41.3823117, 'longitude': 2.1660362, 'street_count': 4}"
30227198,"{'latitude': 41.3807467, 'longitude': 2.1677141, 'street_count': 3}"
30227228,"{'latitude': 41.3803786, 'longitude': 2.1631037, 'street_count': 3}"
30227229,"{'latitude': 41.3803577, 'longitude': 2.1636551, 'street_count': 3}"
30227230,"{'latitude': 41.3803672, 'longitude': 2.1638525, 'street_count': 3}"
30227231,"{'latitude': 41.3804058, 'longitude': 2.1645765, 'street_count': 3}"
30227232,"{'latitude': 41.3804556, 'longitude': 2.1655022, 'street_count': 3}"
30227233,"{'latitude': 41.3805014, 'longitude': 2.1661378, 'street_count': 3}"
30227373,"{'latitude': 41.3816573, 'longitude': 2.1676823, 'street_count': 3}"
30227390,"{'latitude': 41.3821042, 'longitude': 2.1683799, 'street_count': 4}"
30227391,"{'latitude': 41.3824395, 'longitude': 2.168972, 'street_count': 4}"
30227392,"{'latitude': 41.3829469, 'longitude': 2.1698603, 'street_count': 4}"
30227394,"{'latitude': 41.3833022, 'longitude': 2.1703209, 'street_count': 4}"
30227397,"{'latitude': 41.3836786, 'longitude': 2.1711192, 'street_count': 3}"
30227398,"{'latitude': 41.3834245, 'longitude': 2.1687159, 'street_count': 3}"
30227399,"{'latitude': 41.3827108, 'longitude': 2.1694432, 'street_count': 3}"
30227401,"{'latitude': 41.3836025, 'longitude': 2.1690057, 'street_count': 3}"
30227402,"{'latitude': 41.3831498, 'longitude': 2.1682528, 'street_count': 3}"
30227404,"{'latitude': 41.382392, 'longitude': 2.1705246, 'street_count': 3}"
30227450,"{'latitude': 41.3789074, 'longitude': 2.1638551, 'street_count': 3}"
30227451,"{'latitude': 41.3790237, 'longitude': 2.1643029, 'street_count': 3}"
30227452,"{'latitude': 41.3791329, 'longitude': 2.1647538, 'street_count': 3}"
30227460,"{'latitude': 41.3795666, 'longitude': 2.1672526, 'street_count': 3}"
30227468,"{'latitude': 41.3802335, 'longitude': 2.169702, 'street_count': 3}"
30227469,"{'latitude': 41.380365, 'longitude': 2.1701498, 'street_count': 3}"
30227473,"{'latitude': 41.3808434, 'longitude': 2.1717791, 'street_count': 3}"
30227477,"{'latitude': 41.3809904, 'longitude': 2.1724354, 'street_count': 3}"
30227478,"{'latitude': 41.3812409, 'longitude': 2.1730536, 'street_count': 3}"
30227483,"{'latitude': 41.3808331, 'longitude': 2.17481, 'street_count': 4}"
30227484,"{'latitude': 41.3811079, 'longitude': 2.175155, 'street_count': 4}"
30227485,"{'latitude': 41.3812572, 'longitude': 2.1753493, 'street_count': 3}"
